date,state,cases_import,cases_new,cases_recovered
1/25/20,Johor,4,4,0
1/25/20,Kedah,0,0,0
1/25/20,Kelantan,0,0,0
1/25/20,Melaka,0,0,0
1/25/20,Negeri Sembilan,0,0,0
1/25/20,Pahang,0,0,0
1/25/20,Perak,0,0,0
1/25/20,Perlis,0,0,0
1/25/20,Pulau Pinang,0,0,0
1/25/20,Sabah,0,0,0
1/25/20,Sarawak,0,0,0
1/25/20,Selangor,0,0,0
1/25/20,Terengganu,0,0,0
1/25/20,W.P. Kuala Lumpur,0,0,0
1/25/20,W.P. Labuan,0,0,0
1/25/20,W.P. Putrajaya,0,0,0
1/26/20,Johor,0,0,0
1/26/20,Kedah,0,0,0
1/26/20,Kelantan,0,0,0
1/26/20,Melaka,0,0,0
1/26/20,Negeri Sembilan,0,0,0
1/26/20,Pahang,0,0,0
1/26/20,Perak,0,0,0
1/26/20,Perlis,0,0,0
1/26/20,Pulau Pinang,0,0,0
1/26/20,Sabah,0,0,0
1/26/20,Sarawak,0,0,0
1/26/20,Selangor,0,0,0
1/26/20,Terengganu,0,0,0
1/26/20,W.P. Kuala Lumpur,0,0,0
1/26/20,W.P. Labuan,0,0,0
1/26/20,W.P. Putrajaya,0,0,0
1/27/20,Johor,0,0,0
1/27/20,Kedah,0,0,0
1/27/20,Kelantan,0,0,0
1/27/20,Melaka,0,0,0
1/27/20,Negeri Sembilan,0,0,0
1/27/20,Pahang,0,0,0
1/27/20,Perak,0,0,0
1/27/20,Perlis,0,0,0
1/27/20,Pulau Pinang,0,0,0
1/27/20,Sabah,0,0,0
1/27/20,Sarawak,0,0,0
1/27/20,Selangor,0,0,0
1/27/20,Terengganu,0,0,0
1/27/20,W.P. Kuala Lumpur,0,0,0
1/27/20,W.P. Labuan,0,0,0
1/27/20,W.P. Putrajaya,0,0,0
1/28/20,Johor,0,0,0
1/28/20,Kedah,0,0,0
1/28/20,Kelantan,0,0,0
1/28/20,Melaka,0,0,0
1/28/20,Negeri Sembilan,0,0,0
1/28/20,Pahang,0,0,0
1/28/20,Perak,0,0,0
1/28/20,Perlis,0,0,0
1/28/20,Pulau Pinang,0,0,0
1/28/20,Sabah,0,0,0
1/28/20,Sarawak,0,0,0
1/28/20,Selangor,0,0,0
1/28/20,Terengganu,0,0,0
1/28/20,W.P. Kuala Lumpur,0,0,0
1/28/20,W.P. Labuan,0,0,0
1/28/20,W.P. Putrajaya,0,0,0
1/29/20,Johor,2,2,0
1/29/20,Kedah,1,1,0
1/29/20,Kelantan,0,0,0
