date,state,cases_import,cases_new,cases_recovered
7/1/21,Johor,1,270,361
7/1/21,Kedah,0,250,186
7/1/21,Kelantan,0,108,208
7/1/21,Melaka,0,311,317
7/1/21,Negeri Sembilan,0,692,883
7/1/21,Pahang,0,195,19
7/1/21,Perak,0,149,98
7/1/21,Perlis,0,1,0
7/1/21,Pulau Pinang,0,174,104
7/1/21,Sabah,0,232,188
7/1/21,Sarawak,2,544,587
7/1/21,Selangor,2,2885,1829
7/1/21,Terengganu,0,50,32
7/1/21,W.P. Kuala Lumpur,0,988,701
7/1/21,W.P. Labuan,0,129,56
7/1/21,W.P. Putrajaya,0,10,11
7/2/21,Johor,0,517,584
7/2/21,Kedah,0,257,201
7/2/21,Kelantan,0,129,87
7/2/21,Melaka,0,202,214
7/2/21,Negeri Sembilan,1,606,1009
7/2/21,Pahang,0,329,68
7/2/21,Perak,0,182,118
7/2/21,Perlis,0,0,1
7/2/21,Pulau Pinang,0,351,202
7/2/21,Sabah,0,230,165
7/2/21,Sarawak,0,440,534
7/2/21,Selangor,1,2907,2037
7/2/21,Terengganu,0,44,14
7/2/21,W.P. Kuala Lumpur,1,637,889
7/2/21,W.P. Labuan,0,131,136
7/2/21,W.P. Putrajaya,0,20,19
7/3/21,Johor,2,414,497
7/3/21,Kedah,0,145,226
7/3/21,Kelantan,0,89,153
7/3/21,Melaka,0,345,99
7/3/21,Negeri Sembilan,0,699,751
7/3/21,Pahang,0,200,77
7/3/21,Perak,0,101,90
7/3/21,Perlis,0,2,1
7/3/21,Pulau Pinang,0,142,4
7/3/21,Sabah,0,322,148
7/3/21,Sarawak,0,361,667
7/3/21,Selangor,2,3047,2222
7/3/21,Terengganu,0,51,38
7/3/21,W.P. Kuala Lumpur,7,616,512
7/3/21,W.P. Labuan,0,108,184
7/3/21,W.P. Putrajaya,0,16,8
7/4/21,Johor,1,500,558
7/4/21,Kedah,0,332,168
7/4/21,Kelantan,0,124,89
7/4/21,Melaka,0,290,151
7/4/21,Negeri Sembilan,0,531,686
7/4/21,Pahang,0,95,99
7/4/21,Perak,0,384,214
7/4/21,Perlis,0,0,3
7/4/21,Pulau Pinang,0,173,308
7/4/21,Sabah,0,228,120
7/4/21,Sarawak,0,365,501
7/4/21,Selangor,0,2262,1635
7/4/21,Terengganu,0,54,31
7/4/21,W.P. Kuala Lumpur,19,616,523
7/4/21,W.P. Labuan,0,75,173
7/4/21,W.P. Putrajaya,0,16,12
7/5/21,Johor,1,324,229
7/5/21,Kedah,0,273,170
7/5/21,Kelantan,0,114,146
7/5/21,Melaka,0,206,135
7/5/21,Negeri Sembilan,0,523,559
7/5/21,Pahang,0,312,162
7/5/21,Perak,0,249,271
7/5/21,Perlis,0,0,2
7/5/21,Pulau Pinang,2,157,81
7/5/21,Sabah,0,263,232
7/5/21,Sarawak,2,424,410
7/5/21,Selangor,2,2610,1687
7/5/21,Terengganu,0,17,9
7/5/21,W.P. Kuala Lumpur,19,819,318
7/5/21,W.P. Labuan,0,71,107
7/5/21,W.P. Putrajaya,0,25,14
7/6/21,Johor,3,313,199
7/6/21,Kedah,0,337,148
7/6/21,Kelantan,0,118,117
7/6/21,Melaka,0,230,68
7/6/21,Negeri Sembilan,0,698,626
7/6/21,Pahang,0,180,112
7/6/21,Perak,0,94,178
7/6/21,Perlis,0,2,3
7/6/21,Pulau Pinang,0,185,223
7/6/21,Sabah,0,225,200
7/6/21,Sarawak,0,286,482
7/6/21,Selangor,1,3260,1682
7/6/21,Terengganu,0,61,29
7/6/21,W.P. Kuala Lumpur,7,1550,597
7/6/21,W.P. Labuan,0,82,120
7/6/21,W.P. Putrajaya,0,33,13
7/7/21,Johor,0,224,242
7/7/21,Kedah,0,198,180
7/7/21,Kelantan,0,123,128
7/7/21,Melaka,0,358,105
7/7/21,Negeri Sembilan,0,788,642
7/7/21,Pahang,0,258,145
7/7/21,Perak,0,187,310
7/7/21,Perlis,0,2,5
7/7/21,Pulau Pinang,0,140,110
7/7/21,Sabah,0,244,227
7/7/21,Sarawak,1,289,375
7/7/21,Selangor,5,3119,1755
7/7/21,Terengganu,0,43,35
7/7/21,W.P. Kuala Lumpur,20,1005,440
7/7/21,W.P. Labuan,0,93,160
7/7/21,W.P. Putrajaya,0,26,4
7/8/21,Johor,0,336,351
7/8/21,Kedah,0,360,206
7/8/21,Kelantan,0,135,152
7/8/21,Melaka,0,183,194
7/8/21,Negeri Sembilan,1,897,798
7/8/21,Pahang,0,152,117
7/8/21,Perak,0,543,158
7/8/21,Perlis,0,1,3
7/8/21,Pulau Pinang,2,237,178
7/8/21,Sabah,0,279,203
7/8/21,Sarawak,2,281,474
7/8/21,Selangor,1,4152,2224
7/8/21,Terengganu,0,68,38
7/8/21,W.P. Kuala Lumpur,4,1133,578
7/8/21,W.P. Labuan,0,64,118
7/8/21,W.P. Putrajaya,0,47,10
7/9/21,Johor,2,315,226
7/9/21,Kedah,0,417,222
7/9/21,Kelantan,3,151,133
7/9/21,Melaka,0,222,350
7/9/21,Negeri Sembilan,0,899,618
7/9/21,Pahang,0,214,181
7/9/21,Perak,1,241,153
7/9/21,Perlis,0,1,4
7/9/21,Pulau Pinang,0,142,192
7/9/21,Sabah,0,323,230
7/9/21,Sarawak,0,406,444
7/9/21,Selangor,1,4400,2062
7/9/21,Terengganu,0,82,42
7/9/21,W.P. Kuala Lumpur,0,1271,739
7/9/21,W.P. Labuan,0,80,104
7/9/21,W.P. Putrajaya,0,16,13
7/10/21,Johor,0,399,249
7/10/21,Kedah,0,364,234
7/10/21,Kelantan,0,89,131
7/10/21,Melaka,0,835,791
7/10/21,Negeri Sembilan,0,638,726
7/10/21,Pahang,0,247,226
7/10/21,Perak,0,145,162
7/10/21,Perlis,0,4,0
7/10/21,Pulau Pinang,4,180,40
7/10/21,Sabah,0,251,136
7/10/21,Sarawak,0,352,488
7/10/21,Selangor,5,4277,1970
7/10/21,Terengganu,0,50,32
7/10/21,W.P. Kuala Lumpur,2,1398,573
7/10/21,W.P. Labuan,0,85,134
7/10/21,W.P. Putrajaya,0,39,18
7/11/21,Johor,0,392,347
7/11/21,Kedah,0,382,283
7/11/21,Kelantan,0,150,103
7/11/21,Melaka,0,278,245
